opeid6,level,sector,hbcu,completion_rate_150,share_outstanding_ug_5,cdr3_wgtd,pct25_earn_wne_p10,est_fte,white_share,black_share,hisp_share,asian_share,aian_share,nhpi_share,twomore_share,nra_share,unkn_share
3724,Four-year,Nonprofit 4-year,0,0.57370001,0.871049109,0.020059999,33300,2935,0.3464,0.1449,0.1881,0.0816,0.0036,0.0031,0.0299,0.1667,0.0357
3726,Four-year,For-profit 4-year,0,0.3089,1.259159704,0.0621792,10800,1000,0.3851,0.3094,0.0344,0.0039,0.001,0.001,0.0216,0.0069,0.2367
3727,Two-year,Public 2-year,0,0.2624,1.03426633,0.0148256,22900,31707,0.3187,0.1718,0.2441,0.1586,0.0024,0.004,0.0426,0.0417,0.0161
3728,Four-year,Public 4-year,0,0.51590002,1.002336772,0.0387435,29900,19291,0.4359,0.3159,0.0888,0.0468,0.0027,0.003,0.0691,0.0136,0.0241
3732,Four-year,Public 4-year,0,0.59350002,0.842120904,0.036467198,30200,8746,0.6562,0.1689,0.0704,0.0156,0.0028,0.0014,0.0539,0.0084,0.0223
3733,Four-year,Nonprofit 4-year,0,0.65689999,0.779334098,0.0266643,35700,1452,0.7639,0.0961,0.044,0.0108,0.0047,0.002,0.0426,0.023,0.0129
3734,Four-year,Nonprofit 4-year,0,0.59439999,0.869162353,0.042165998,20900,632,0.6422,0.1601,0.0681,0.0307,0,0.0017,0.0596,0.0307,0.0068
3735,Four-year,Public 4-year,0,0.67079997,0.938614686,0.0199301,28100,25763,0.4475,0.1965,0.1016,0.1376,0.0017,0.0011,0.0692,0.0291,0.0157
3736,Four-year,Nonprofit 4-year,0,0.67030001,0.760112505,0.02022,31400,2257,0.8122,0.053,0.053,0.0111,0.002,0.0005,0.0444,0.0237,0
3737,Four-year,Nonprofit 4-year,0,0.57770002,0.842907729,0.028421201,27900,3237,0.5945,0.1024,0.0643,0.0317,0.0074,0.002,0.0129,0.0242,0.1607
3738,Four-year,Nonprofit 4-year,0,0.31009999,1.004414088,0.049943801,13400,962,0.7107,0.0302,0.0229,0.0052,0.001,0.0291,0.0718,0.0094,0.1197
3742,Four-year,Nonprofit 4-year,0,0.46020001,0.845057773,0.0098748,28100,318,0.722,0.0958,0.0799,0.016,0,0.0032,0.0319,0.0256,0.0256
3744,Four-year,Nonprofit 4-year,0,0.87180001,0.692367543,0.0082656,43500,3666,0.5869,0.0784,0.0824,0.0715,0.0009,0.0003,0.0401,0.0918,0.0476
3745,Four-year,Public 4-year,0,0.94309998,0.564084843,0.0038265,42800,24681,0.571,0.068,0.0649,0.145,0.0012,0.001,0.0466,0.0426,0.0597
3746,Four-year,Public 4-year,0,0.65530002,0.739109662,0.016657401,33500,4256,0.6827,0.0753,0.0988,0.0396,0.0016,0.0009,0.0618,0.0089,0.0304
3747,Four-year,Public 4-year,0,0.48230001,1.017834196,0.098181799,25800,1539,0.7784,0.0994,0.0126,0.0076,0.0034,0,0.0008,0.0093,0.0885
3748,Two-year,Public 2-year,0,0.3276,0,0,13600,354,0.46,0.3275,0.1525,0.01,0.0025,0.0025,0.0375,0.005,0.0025
3749,Four-year,Public 4-year,0,0.69989997,0.778324703,0.0092988,37800,30768,0.3944,0.1129,0.1511,0.2023,0.001,0.0025,0.0498,0.0538,0.032
3751,Two-year,Public 2-year,0,0.3202,0,0,14700,1701,0.6347,0.2207,0.0787,0.009,0,0.0006,0.0397,0.0128,0.0038
3753,Four-year,Public 4-year,0,0.77920002,0.535486819,0.0130494,39200,1883,0.7685,0.0641,0.0742,0.0445,0.0047,0.0036,0.0208,0.019,0.0006
3754,Four-year,Public 4-year,0,0.8373,0.59025334,0.0063104,40800,34597,0.6527,0.0423,0.0646,0.0987,0.0012,0.0011,0.0482,0.0658,0.0254
3758,Two-year,Public 2-year,0,0.31549999,0.944219088,0.0128205,14200,1757,0.5965,0.3118,0.0386,0.0089,0.0038,0,0.0285,0.007,0.0051
3759,Two-year,Public 2-year,0,0.20479999,1.133698105,0.0256608,17100,5452,0.4602,0.3299,0.074,0.0647,0.0037,0.0018,0.0369,0.0158,0.0129
3760,Two-year,Public 2-year,0,0.3312,1.078985421,0.0207946,16600,3711,0.7342,0.1207,0.0503,0.0351,0.0027,0.0012,0.0438,0.0055,0.0065
3761,Two-year,Public 2-year,0,0.46650001,0.775443319,0.0081508,17300,1561,0.8718,0.0437,0.0451,0.0086,0.0036,0,0.0193,0.0036,0.0043
3764,Four-year,Public 4-year,1,0.39160001,1.244651052,0.118788,21200,4236,0.0045,0.2451,0.0033,0.0013,0.0015,0,0,0.0125,0.7318
3765,Four-year,Public 4-year,1,0.37380001,1.263688861,0.0903887,21600,4756,0.0345,0.8497,0.0371,0.0054,0.0017,0.0004,0.0531,0.0037,0.0145
3766,Four-year,Nonprofit 4-year,1,0.329,1.26369511,0.1213457,19200,1467,0.0088,0.9355,0.015,0.0027,0.0044,0,0,0.0044,0.0292
3767,Four-year,Nonprofit 4-year,0,0.51740003,0.954967965,0.032591999,26400,1494,0.53,0.2581,0.0799,0.0146,0.0061,0.0069,0.0614,0.0092,0.0338
3768,Four-year,Nonprofit 4-year,0,0.94989997,0.509955015,0.0029952,50400,1690,0.8074,0.0269,0.0477,0.0373,0,0,0.0357,0.0384,0.0066
3769,Four-year,Public 4-year,0,0.2863,0.944341324,0.0040404,24500,10736,0.3966,0.0484,0.1126,0.1578,0.0046,0.0052,0.1003,0.0983,0.0762
3770,Two-year,Public 2-year,0,0.37920001,1.023578898,0.022413,18200,1781,0.4988,0.0043,0.3948,0.0221,0.0031,0.0012,0.0412,0.0031,0.0314
3771,Four-year,Public 4-year,0,0.54729998,0.902547179,0.029115999,30500,11999,0.5074,0.0404,0.1594,0.0397,0.0054,0.0092,0.0788,0.0308,0.129
3772,Four-year,Public 4-year,0,0.38609999,0,0,16800,2236,0.6991,0.0114,0.1272,0.0092,0.0124,0.0054,0.0774,0.007,0.0509
3773,Four-year,Public 4-year,0,0.2406,1.091771138,0.016159501,17700,7216,0.6477,0.018,0.1118,0.0423,0.0033,0.0068,0.0958,0.0061,0.0683
3774,Four-year,Public 4-year,0,0.294,0.945972374,0.0090608,20700,5455,0.4667,0.0114,0.4222,0.0223,0.0043,0.0015,0.041,0.0012,0.0294
3775,Four-year,Public 4-year,0,0.4409,0.914191373,0.0340425,27100,11443,0.6115,0.0353,0.1662,0.0312,0.0099,0.0034,0.0727,0.0395,0.0303
3776,Two-year,Public 2-year,0,0.35980001,1.002557201,0.0058806,16500,6816,0.5901,0.0342,0.1125,0.0737,0.0084,0.0034,0.0712,0.0379,0.0687
3777,Four-year,Nonprofit 4-year,0,0.30860001,1.072532877,0.047247998,19500,952,0.1398,0.004,0.69,0.0079,0.0831,0,0.0158,0.0158,0.0435
3778,Four-year,Nonprofit 4-year,0,0.85829997,0.598705899,0.006879,37300,6905,0.7157,0.0132,0.11,0.0538,0.0059,0.0034,0.0634,0.0116,0.0229
3779,Four-year,Public 4-year,0,0.3303,1.082201478,0.025993999,14700,1712,0.6071,0.0231,0.1471,0.0216,0.027,0.0046,0.114,0.0054,0.0501
3780,Four-year,Public 4-year,0,0.37,1.02910696,0.0114513,21000,7857,0.4324,0.0588,0.1119,0.1131,0.0064,0.0085,0.1158,0.0743,0.0787
3781,Four-year,Public 4-year,0,0.3206,1.113020497,0.0050622,18800,5497,0.2747,0.12,0.1414,0.1494,0.0055,0.0138,0.127,0.0816,0.0866
3782,Two-year,Public 2-year,0,0.2238,1.100177663,0.0236913,13800,2197,0.7247,0.0151,0.1124,0.0249,0.0136,0.003,0.0656,0.0045,0.0362
3783,Four-year,Nonprofit 4-year,0,0.55449998,0.799331683,0.041111086,21500,1956,0.659315773,0.051761956,0.108513565,0.045399369,0.01263142,0.01641306,0.068780442,0.027153123,0.010105804
3784,Four-year,Public 4-year,0,0.241,1.003372639,0.013795,18000,5547,0.6129,0.0369,0.0965,0.0572,0.0082,0.0093,0.1019,0.0209,0.0563
3785,Four-year,Nonprofit 4-year,0,0.67140001,0.755681098,0.0192474,32300,3098,0.5904,0.0402,0.1161,0.0986,0.0058,0.011,0.0989,0.031,0.008
3786,Four-year,Public 4-year,0,0.37760001,1.063974154,0.0221154,14300,1649,0.581,0.0153,0.086,0.0169,0.0353,0.0023,0.1005,0.0399,0.1228
3787,Four-year,Public 4-year,0,0.2692,0.845253232,0.0084455,15300,5613,0.3312,0.133,0.1086,0.1246,0.0049,0.0049,0.1016,0.1232,0.0681
3788,Four-year,Nonprofit 4-year,0,0.67860001,0.64014963,0.0111644,31100,3496,0.5149,0.0479,0.1286,0.1279,0.0021,0.008,0.0846,0.0591,0.0269
3790,Four-year,Nonprofit 4-year,0,0.73699999,0.643297149,0.0103075,36800,6002,0.423,0.0308,0.126,0.1615,0.0028,0.0086,0.0834,0.1072,0.0567
3791,Two-year,Public 2-year,0,0.34830001,0.954703829,0.0081354,22600,4677,0.4226,0.0644,0.0953,0.1118,0.0042,0.0039,0.1083,0.1034,0.0862
3792,Four-year,Public 4-year,0,0.24240001,1.005979412,0.011685,16700,3734,0.641,0.0207,0.1699,0.0375,0.0098,0.0055,0.0797,0.0258,0.0102
3793,Four-year,Public 4-year,0,0.237,1.061255174,0.035253402,17900,6509,0.653,0.0198,0.0627,0.0268,0.0133,0.0037,0.0524,0.0109,0.1573
3794,Four-year,Nonprofit 4-year,0,0.61570001,0.871737849,0.015850799,30500,1479,0.4969,0.0553,0.1363,0.0935,0.0156,0.0506,0.0779,0.046,0.028
3796,Four-year,Public 4-year,0,0.2494,1.119744448,0.0219076,17900,5391,0.4353,0.0622,0.0989,0.0617,0.0054,0.0095,0.0807,0.044,0.2023
3797,Four-year,Nonprofit 4-year,0,0.75279999,0.607250457,0.0050149,33500,2376,0.6936,0.0182,0.0872,0.0643,0.0013,0.0055,0.0901,0.0042,0.0355
3798,Four-year,Public 4-year,0,0.80595845,0.678131581,0.007815157,36800,58509,0.385236056,0.041992296,0.092737872,0.252129778,0.005026016,0.005287316,0.074933632,0.130552718,0.012166922
3799,Four-year,Nonprofit 4-year,0,0.56819999,0.783573266,0.024165399,26900,1807,0.7051,0.0256,0.134,0.063,0.0062,0.0075,0.0012,0.0449,0.0125
3800,Four-year,Public 4-year,0,0.58890003,0.791424062,0.017465999,32900,27663,0.6081,0.0322,0.1528,0.0606,0.0063,0.0049,0.0673,0.042,0.0258
3801,Four-year,Public 4-year,0,0.30610001,1.06391404,0.0127724,17400,2952,0.5155,0.0076,0.3742,0.0126,0.016,0.0015,0.0416,0.0023,0.0286
3802,Four-year,Public 4-year,0,0.68470001,0.741562284,0.0112185,29800,14801,0.707,0.0167,0.0946,0.0642,0.0035,0.0021,0.0863,0.0109,0.0147
